1,Swordfish,A
2,N.B.S.,A
3,Colorado A,A
4,San Diego,A
5,Cincinnati GC,A
6,LA,A
7,Beast Mode,B
8,South Lake Union Transit Swimmers,B
9,MSU Spartans,B
10,Frisky Sea Cucumbers,B
11,RB JV Team,B
12,Minnesota 1,B
13,Bay Area,B
14,Killer Bees,B
15,University of Illinois,B
16,San Francisco Sea Lions,B
17,Chicago,B
18,Oregon,B
19,Pittsburg Stingrays,B
20,Rocky Mountain Oyster,B
21,Old School Chicago,B
22,GMUNCSF,B
23,Door County Sturgeons,B
24,Full Loons,B
25,RB Varsity Team,B
26,U of Florida,B
